CreditCardID,CardType,CardNumber,ExpMonth,ExpYear,ModifiedDate
1,SuperiorCard,3.33327E+13,11,2006,00:00.0
2,Distinguish,5.55521E+13,8,2005,00:00.0
3,ColonialVoice,7.77783E+13,7,2005,00:00.0
4,ColonialVoice,7.77749E+13,7,2006,00:00.0
5,Vista,1.11144E+13,4,2005,00:00.0
6,Distinguish,5.55571E+13,9,2006,00:00.0
7,Distinguish,5.55536E+13,6,2007,00:00.0
8,SuperiorCard,3.33361E+13,7,2007,00:00.0
9,Distinguish,5.55535E+13,2,2005,00:00.0
10,SuperiorCard,3.33321E+13,8,2008,00:00.0
11,SuperiorCard,3.33354E+13,10,2008,00:00.0
12,SuperiorCard,3.33343E+13,4,2008,00:00.0
13,Vista,1.11198E+13,11,2005,00:00.0
14,Distinguish,5.55533E+13,10,2006,00:00.0
15,SuperiorCard,3.33369E+13,11,2008,00:00.0
16,Vista,1.1112E+13,8,2006,00:00.0
17,ColonialVoice,7.77712E+13,8,2008,00:00.0
18,ColonialVoice,7.7774E+13,8,2007,00:00.0
19,ColonialVoice,7.77798E+13,9,2007,00:00.0
20,SuperiorCard,3.33322E+13,3,2007,00:00.0
21,SuperiorCard,3.33365E+13,3,2006,00:00.0
22,ColonialVoice,7.7772E+13,3,2005,00:00.0
23,Vista,1.11172E+13,7,2006,00:00.0
24,Vista,1.11117E+13,11,2005,00:00.0
25,Vista,1.11199E+13,1,2007,00:00.0
26,Distinguish,5.55542E+13,11,2008,00:00.0
27,SuperiorCard,3.33338E+13,12,2008,00:00.0
28,SuperiorCard,3.3337E+13,12,2006,00:00.0
29,SuperiorCard,3.33336E+13,2,2007,00:00.0
30,Vista,1.11113E+13,6,2006,00:00.0
31,Vista,1.1112E+13,10,2008,00:00.0
32,Distinguish,5.55525E+13,6,2006,00:00.0
33,SuperiorCard,3.33356E+13,2,2006,00:00.0
34,Vista,1.11153E+13,10,2006,00:00.0
35,SuperiorCard,3.3333E+13,2,2007,00:00.0
36,Vista,1.11112E+13,11,2006,00:00.0
37,Distinguish,5.55513E+13,7,2007,00:00.0
38,Distinguish,5.55554E+13,7,2008,00:00.0
39,Vista,1.11175E+13,5,2005,00:00.0
